number,chapter_title,title_eng,title,book_id
1,The Times of Prayer - وقوت الصلاة,The Times of Prayer,وقوت الصلاة,Muwatta Malik
2,Purity - الطهارة,Purity,الطهارة,Muwatta Malik
3,Prayer - الصلاة,Prayer,الصلاة,Muwatta Malik
4,Forgetfulness in Prayer - السهو,Forgetfulness in Prayer,السهو,Muwatta Malik
5,Firday Prayer -  الجمعة,Firday Prayer, الجمعة,Muwatta Malik
6,Prayer in Ramadan - الصلاة فى رمضان,Prayer in Ramadan,الصلاة فى رمضان,Muwatta Malik
7,Tahajjud - صلاة الليل,Tahajjud,صلاة الليل,Muwatta Malik
8,Prayer in Congregation - صلاة الجماعة,Prayer in Congregation,صلاة الجماعة,Muwatta Malik
9,Shortening the Prayer - قصر الصلاة فى السفر,Shortening the Prayer,قصر الصلاة فى السفر,Muwatta Malik
10,The Two Eids - العيدين,The Two Eids,العيدين,Muwatta Malik
11,The Fear Prayer - صلاة الخوف,The Fear Prayer,صلاة الخوف,Muwatta Malik
12,The Eclipse Prayer - صلاة الكسوف,The Eclipse Prayer,صلاة الكسوف,Muwatta Malik
13,Asking for Rain - الاستسقاء,Asking for Rain,الاستسقاء,Muwatta Malik
14,The Qibla - القبلة,The Qibla,القبلة,Muwatta Malik
15,The Qur'an - القرآن,The Qur'an,القرآن,Muwatta Malik
16,Burials - الجنائز,Burials,الجنائز,Muwatta Malik
17,Zakat - الزكاة,Zakat,الزكاة,Muwatta Malik
18,Fasting - الصيام,Fasting,الصيام,Muwatta Malik
19,Itikaf in Ramadan - الاعتكاف,Itikaf in Ramadan,الاعتكاف,Muwatta Malik
20,Hajj - الحج,Hajj,الحج,Muwatta Malik
21,Jihad - الجهاد,Jihad,الجهاد,Muwatta Malik
22,Vows and Oaths - النذور والأيمان,Vows and Oaths,النذور والأيمان,Muwatta Malik
23,Sacrificial Animals - الضحايا,Sacrificial Animals,الضحايا,Muwatta Malik
24,Slaughtering Animals - الذبائح,Slaughtering Animals,الذبائح,Muwatta Malik
25,Hunting - الصيد,Hunting,الصيد,Muwatta Malik
26,The Aqiqa - العقيقة,The Aqiqa,العقيقة,Muwatta Malik
27,Faraid - الفرائض,Faraid,الفرائض,Muwatta Malik
28,Marriage - النكاح,Marriage,النكاح,Muwatta Malik
29,Divorce - الطلاق,Divorce,الطلاق,Muwatta Malik
30,Suckling - الرضاع,Suckling,الرضاع,Muwatta Malik
31,Business Transactions - البيوع,Business Transactions,البيوع,Muwatta Malik
32,Qirad - القراض,Qirad,القراض,Muwatta Malik
33,Sharecropping - المساقاة,Sharecropping,المساقاة,Muwatta Malik
34,Renting Land - كراء الأرض,Renting Land,كراء الأرض,Muwatta Malik
35,Pre-emption in Property - الشفعة,Pre-emption in Property,الشفعة,Muwatta Malik
36,Judgements - الأقضية,Judgements,الأقضية,Muwatta Malik
37,Wills and Testaments - الوصية,Wills and Testaments,الوصية,Muwatta Malik
38,Setting Free and Wala' - العتق والولاء,Setting Free and Wala',العتق والولاء,Muwatta Malik
39,The Mukatab - المكاتب,The Mukatab,المكاتب,Muwatta Malik
40,The Mudabbar - المدبر,The Mudabbar,المدبر,Muwatta Malik
41,Hudud - الحدود,Hudud,الحدود,Muwatta Malik
42,Drinks - الأشربة,Drinks,الأشربة,Muwatta Malik
43,Blood-Money - العقول,Blood-Money,العقول,Muwatta Malik
44,The Oath of Qasama - القسامة,The Oath of Qasama,القسامة,Muwatta Malik
45,Madina - المدينة,Madina,المدينة,Muwatta Malik
46,The Decree - القدر,The Decree,القدر,Muwatta Malik
47,Good Character - حسن الخلق,Good Character,حسن الخلق,Muwatta Malik
48,Dress - اللباس,Dress,اللباس,Muwatta Malik
49,The Description of the Prophet - صفة النبى صلى الله عليه وسلم,The Description of the Prophet,صفة النبى صلى الله عليه وسلم,Muwatta Malik
50,The Evil Eye - العين,The Evil Eye,العين,Muwatta Malik
51,Hair - الشعر,Hair,الشعر,Muwatta Malik
52,Visions - الرؤيا,Visions,الرؤيا,Muwatta Malik
53,Greetings - السلام,Greetings,السلام,Muwatta Malik
54,General Subjects - الاستئذان,General Subjects,الاستئذان,Muwatta Malik
55,The Oath of Allegiance - البيعة,The Oath of Allegiance,البيعة,Muwatta Malik
56,Speech - الكلام,Speech,الكلام,Muwatta Malik
57,Jahannam - جهنم,Jahannam,جهنم,Muwatta Malik
58,Sadaqa - الصدقة,Sadaqa,الصدقة,Muwatta Malik
59,Knowledge - العلم,Knowledge,العلم,Muwatta Malik
60,The Supplication of the Unjustly Wronged - دعوة المظلوم,The Supplication of the Unjustly Wronged,دعوة المظلوم,Muwatta Malik
61,The Names of the Prophet - أسماء النبى صلى الله عليه وسلم,The Names of the Prophet,أسماء النبى صلى الله عليه وسلم,Muwatta Malik